% freq [Hz]	Model (first stage) [dBc/Hz]	Model (second Stage) [dBc/Hz]
51286.1384	-161.1501128	-161.4609874
52480.74602	-161.1875296	-161.4711179
53703.17964	-161.2234513	-161.4807881
54954.08739	-161.2579278	-161.4900183
56234.13252	-161.2910084	-161.4988279
57543.99373	-161.3227413	-161.5072354
58884.36554	-161.3531739	-161.5152588
60255.95861	-161.3823524	-161.522915
61659.50019	-161.4103223	-161.5302207
63095.73445	-161.4371276	-161.5371913
64565.4229	-161.4628116	-161.5438421
66069.3448	-161.4874163	-161.5501873
67608.29754	-161.5109825	-161.5562408
69183.09709	-161.53355	-161.5620157
70794.57844	-161.5551574	-161.5675248
72443.59601	-161.5758422	-161.57278
74131.02413	-161.5956407	-161.5777929
75857.7575	-161.6145881	-161.5825747
77624.71166	-161.6327185	-161.5871357
79432.82347	-161.6500647	-161.5914861
81283.05162	-161.6666586	-161.5956356
83176.37711	-161.6825311	-161.5995934
85113.80382	-161.6977116	-161.6033682
87096.359	-161.712229	-161.6069685
89125.09381	-161.7261107	-161.6104024
91201.08394	-161.7393834	-161.6136774
93325.43008	-161.7520727	-161.6168009
95499.2586	-161.7642033	-161.6197798
97723.7221	-161.7757988	-161.622621
100000	-161.7868821	-161.6253307
